phrase,cluster
plenty,63
social event,12
make decision,48
make effort,43
set success,51
work leader,45
an amazing place,50
integrity,52
each employee,46
decision,48
they,63
who,41
a balance,0
kindness,52
support,7
the company,38
leader,45
people,41
success,51
what,61
no company,38
the culture,1
salary,31
stable company,38
| lot,63
opportunity,5
colleague,36
professional development,24
some area,50
a lot,63
stress,52
pay rate,31
2 day,18
do what,63
keep thing,63
keep employee,46
require work,43
thing,61
employee,46
technology,44
corner,54
find con,8
any con,8
chance,5
development,24
long hour,22
work weekend,20
work colleague,36
con,8
excellent benefit,9
perk,9
the opportunity,5
visibility,55
growth,25
welltower,30
.,24
mentorship,32
team,34
region,50
have benefit,9
have con,8
great benefit,9
everyone,41
you,41
take management,45
treat employee,46
their employee,46
great | great place,50
friendly people,41
care line,14
good company,37
depend supervisor,45
healthcare,14
direct supervisor,45
new process,35
support employee,46
work employee,46
its employee,46
culture,1
the team,34
career opportunity,24
property,27
property management,27
the goal,51
the position,30
a state,50
no con,8
each department,6
| alot,63
any opportunity,5
offer package,31
promote balance,0
focus growth,55
foster environment,57
toxic environment,57
a healthy work-life balance,0
leadership,45
my department,6
executive,45
other,61
my hard work,43
few opportunity,5
advancement,24
management,45
a toxic work environment,57
transparency,55
poor communication,13
| great work environment,57
environment,57
work,43
life balance,0
experience,4
individual,41
the area,50
promotion,24
career growth,24
skill,53
employee well-being,46
many employee,46
innovation,44
good manager,45
work benefit,9
great company,37
| great benefit,9
the people,41
grow career,24
time,22
good pay,31
mentality,52
offer benefit,9
the facility,56
a gym,56
the year,18
show time,22
have manager,45
take lot,63
the paycheck,31
a result,51
the other employee,46
work company,38
great place,50
| great company,37
work variety,43
benefit,9
the management,45
pay,31
toledo,50
the work,43
your coworker,36
themselves,41
pay people,31
trust,52
no work life balance,0
reach goal,51
not what,61
great bonus,10
company,38
transition,15
the transition,15
this company,38
new system,44
program,44
procedure,35
answer,59
communication,13
department,6
manager,45
certain department,6
deadline,22
great company |,37
great company | lot,37
growth opportunity,25
boss,45
your back,55
mistake,59
great people,41
a great place,50
| benefit,9
office,56
low level employee,46
annual bonus,10
great coworker,36
contact,11
tenant,26
we,63
training,32
start job,43
the job,43
grow environment,57
no real con,8
pay enough,31
spend year,18
great team,34
achieve goal,51
do job,43
get employee,46
put work,43
work atmosphere,57
work co,38
work -,43
work other,43
work home,43
have company,38
be company,38
collaboration,34
my role,28
the same position,30
place,50
goal,51
hr,6
onboarding,32
all employee,46
knowledge,60
sense,55
teamwork,34
question,59
