title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great work environment,5.0,"Oct 28, 2025","friendly staff and meet lots of new people, breaks are encouraged",need to be standing at the desk all the time,"Simon Property Group, Inc.",SPG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Simon-Property-Group-Reviews-E2458.htm
"Run from here. Seriously, it's not too late",1.0,"Sep 25, 2025","Helping people, ETC license, good sense of community among the ground-floor employees, livable wage","Management. They're the single highest reason for turnover. They micromanage. It's the same situation from Office Space, where you've got five bosses. They like to pretend they're like 911 or alike, but they are far from it. They like to take pride in being ""the only thing like this,"" but they're too self-obsessed to understand how the world works. They will and do discriminate against anything that isn't a warm body in a chair staring at two monitors watching cameras. They preach ""proactive"" searches on equipment that's as reliable as a Chevy Nova. Be prepared to sign an NDA. Everything you see is ""Company Sensitive,"" but it isn't Top Secret. There are often tours for emergency personnel, other Simon property groups, and anyone else they want to sell the services to. Management treats you as replaceable and does not care about you in the slightest.","Simon Property Group, Inc.",SPG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Simon-Property-Group-Reviews-E2458.htm
Ok - no room for growth,3.0,"Nov 12, 2025","easy enough job, just mundane and boring","not much room for growth constantly doing the same tasks, which could also be a good thing","Simon Property Group, Inc.",SPG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Simon-Property-Group-Reviews-E2458.htm
Leadership is glass half full,2.0,"Nov 8, 2025",Great company to work for if you have good leadership to guide and support your success,"Leadership was unsupportive, favored other peers, and was unapproachable","Simon Property Group, Inc.",SPG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Simon-Property-Group-Reviews-E2458.htm
Great fresh out of college job,3.0,"Oct 14, 2025",- Decent pay - Reputable company,"- Company believes group punishment is effective, as they took away hybrid work environment from everyone on a random Monday and said “effective immediately”.","Simon Property Group, Inc.",SPG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Simon-Property-Group-Reviews-E2458.htm
Take on two or three roles without compensation,2.0,"Sep 14, 2025","It’s average. Depending on your role it isn’t a professionally competitive environment. Reasonable with employees and benefit package, outside of the low wage.",A lot. It’s a drain to put in quality work and get paid less than a security guard that just started.,"Simon Property Group, Inc.",SPG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Simon-Property-Group-Reviews-E2458.htm
Great,5.0,"Oct 1, 2025","Big corporate company that has a 1,000 plus employees",Very flexible work environment and easy going culture,"Simon Property Group, Inc.",SPG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Simon-Property-Group-Reviews-E2458.htm
Intense,4.0,"Sep 25, 2025",Flexibility for creativity. Availability to hire outside agencies.,Demanding & stressful to oversee teams.,"Simon Property Group, Inc.",SPG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Simon-Property-Group-Reviews-E2458.htm
Okay for college students,3.0,"Sep 19, 2025",time to work on school work,interacting with negative customers regularly,"Simon Property Group, Inc.",SPG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Simon-Property-Group-Reviews-E2458.htm
Salary Pay,5.0,"Sep 17, 2025","Good working atmosphere, environment, team",Unfortunately the pay is not that great,"Simon Property Group, Inc.",SPG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Simon-Property-Group-Reviews-E2458.htm
,2.0,"Sep 17, 2025",I Can’t think of any,Micro managing staff. Leadership not good.,"Simon Property Group, Inc.",SPG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Simon-Property-Group-Reviews-E2458.htm
Marketing director,3.0,"Aug 30, 2025","fast paced, unique, challenging, multi faceted","challenging, not enough resources, can be draining","Simon Property Group, Inc.",SPG,Retail,2025-11-20,https://www.glassdoor.com/Reviews/Simon-Property-Group-Reviews-E2458.htm
