title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
Great place to work,5.0,"Sep 8, 2023",Very friendly staff! The company is a REIT with many departments so you learn a lot about the ownership and renovation of assets from various perspectives.,Very traditional workplace. This isn't so bad but it's the least exciting environment I have worked in as a designer.,"Summit Hotel Properties, Inc.",INN,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Summit-Hotel-Properties-Reviews-E354640.htm
Manager,4.0,"Jun 12, 2025",Good work space tu et al,There is very little interaction between departments.,"Summit Hotel Properties, Inc.",INN,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Summit-Hotel-Properties-Reviews-E354640.htm
Not Great,1.0,"Nov 20, 2024",meet a lot of people outside of the design field.,poor distribution of workload. coworkers will get special treatment.,"Summit Hotel Properties, Inc.",INN,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Summit-Hotel-Properties-Reviews-E354640.htm
"Good benefits, structured work setting",4.0,"Apr 7, 2024",Good benefits and salaries. Multiple departments create a good office camaraderie. Company gives back often to non profits.,Not a creative environment. Many workstations and private offices create a feeling of a financial institution.,"Summit Hotel Properties, Inc.",INN,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Summit-Hotel-Properties-Reviews-E354640.htm
"Lack of structure, lack of leadership, and not much of a company culture.",2.0,"Sep 11, 2016","I had a very good boss, who is trying too hard to make right of things out of our control.","Executives can do whatever they want, rules are irrelevant; employees on the other hand have to follow all the rules, written or unspoken, known or unknown. Extremely expensive health insurance, and a CEO who likes to watch when everyone gets in and leaves the office.","Summit Hotel Properties, Inc.",INN,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Summit-Hotel-Properties-Reviews-E354640.htm
Great Group of People,4.0,"Jan 12, 2021",A sincerely great group of people who are all very talented and excellent at what they do. Going to work was a pleasure for me each and every single day.,"Diversity seemed limited. Selected groups of people seemed to be promoted, invested in, and valued more than others.","Summit Hotel Properties, Inc.",INN,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Summit-Hotel-Properties-Reviews-E354640.htm
Experienced one of the highest customer service at Summit Hotel Properties.,5.0,"Mar 14, 2014",It is for the management's influence of interrelationship and work ethics that have prompted me to be part of the team if I had an opportunity to work for Summit Hotel Properties.,I have not yet seen any negative outcome.,"Summit Hotel Properties, Inc.",INN,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Summit-Hotel-Properties-Reviews-E354640.htm
Great Place to Work,5.0,"Jun 17, 2022",- hybrid role - no timesheets - hospitality design,- difficult to get approvals to move forward with design process - budgets for FF&E are very tight which leaves little room for using better products,"Summit Hotel Properties, Inc.",INN,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Summit-Hotel-Properties-Reviews-E354640.htm
Great Company and Workplace,5.0,"Dec 26, 2021",Good leaders who care about quality over glamour. Good benefits.,"Unfortunately laid off due to COVID in 2020, but I will always appreciate my time and the experience I gained with them.","Summit Hotel Properties, Inc.",INN,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Summit-Hotel-Properties-Reviews-E354640.htm
Excellent Company,5.0,"Mar 10, 2021","Pay, Benefits, Life Support, Caring executives and team members",can be long hours but always rewarded/acknowledged,"Summit Hotel Properties, Inc.",INN,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Summit-Hotel-Properties-Reviews-E354640.htm
Good Salary,3.0,"May 14, 2022",They pay very well. Nice office environment.,"Very corporate, make sure that you keep a good paper trail on your work.","Summit Hotel Properties, Inc.",INN,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Summit-Hotel-Properties-Reviews-E354640.htm
Wonderful Company,4.0,"Mar 30, 2021","Positive atmosphere, very nice co-workers",A certain co-worker had a very negative attitude - but from what I hear - that person is gone.,"Summit Hotel Properties, Inc.",INN,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Summit-Hotel-Properties-Reviews-E354640.htm
VP Construction,5.0,"Aug 30, 2016",Top company in hotel field,truction,"Summit Hotel Properties, Inc.",INN,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Summit-Hotel-Properties-Reviews-E354640.htm
Accountant,4.0,"Oct 30, 2019","Good Company,Working environment is good.",Looking for better option for further future.,"Summit Hotel Properties, Inc.",INN,Lodging/Resorts,2025-11-21,https://www.glassdoor.com/Reviews/Summit-Hotel-Properties-Reviews-E354640.htm
